label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
1936;At 阿金;1;0;1;1302;0.0007680491551459293
1938;主题曲想起来了;1;0;1;1302;0.0007680491551459293
1940;天哪！;1;0;1;1302;0.0007680491551459293
1958;[泪]彩云国！！！有点想…;1;0;1;1302;0.0007680491551459293
1999;p2也太好看了吧！现在北京这鬼天气&空气[怒];1;0;1;1302;0.0007680491551459293
2001;我可以带[奋斗];23;2;25;1302;0.019201228878648235
2025;救命我要去！;7;1;8;1302;0.006144393241167435
2034;妈呀就在我家附近诶[泪][泪][泪][泪]明天就去;1;1;2;1302;0.0015360983102918587
2059;应该不会得颈椎病吧;1;0;1;1302;0.0007680491551459293
2066;有意思[嘻嘻][嘻嘻];1;0;1;1302;0.0007680491551459293
2083;哇啊啊啊啊啊好羡慕！;1;0;1;1302;0.0007680491551459293
2085;玉龙雪山推荐;1;0;1;1302;0.0007680491551459293
2087;好羡慕555我也想去;1;0;1;1302;0.0007680491551459293
2089;哇 真好！！！！;1;0;1;1302;0.0007680491551459293
2091;哇哦！一路顺风！;1;0;1;1302;0.0007680491551459293
2112;拍大片出攻略[doge][doge]好好玩耍啦;1;0;1;1302;0.0007680491551459293
2244;[赞][赞][赞];2;1;3;1302;0.002304147465437788
2247;美词欣赏！[赞][赞][赞][赞啊][赞啊][赞啊]晚好！[锦鲤附体][锦鲤附体][心][心][鲜花][鲜花][鲜花];1;2;3;1302;0.002304147465437788
2249;下午好[鲜花];1;2;3;1302;0.002304147465437788
2251;[赞][鲜花][给力][音乐]下午静好！;1;2;3;1302;0.002304147465437788
2253;欣赏佳作[鲜花][鲜花][鲜花][鲜花]晚上吉祥;1;1;2;1302;0.0015360983102918587
2255;[鲜花][笑哈哈][给力][音乐]周五快乐！;1;1;2;1302;0.0015360983102918587
2257;美美哒[赞啊][赞啊][赞啊];1;1;2;1302;0.0015360983102918587
2286;太酸了 我们论文可能都五一才能交;2;0;2;1302;0.0015360983102918587
2289;啥直播，分享下啊？;1;1;2;1302;0.0015360983102918587
