发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
南瓜味礼帽;3;1;4;21673;0.0001845614358879712
存够100万就退休;3;7;10;21673;0.00046140358971992804
吃娱的蟹老板;3;55;58;21673;0.0026761408203755826
蓝色王毛毛;2;2;4;21673;0.0001845614358879712
云呢拿小卖部;2;1;3;21673;0.0001384210769159784
开开开开开得了;1;3;4;21673;0.0001845614358879712
猫九九爱六六;1;4;5;21673;0.00023070179485996402
考古娱乐圈;4;14;18;21673;0.0008305264614958704
陳企鵝_Patty;6;3;9;21673;0.0004152632307479352
幸运草Angelina;20;5;25;21673;0.00115350897429982
我需要2颗西柚;4;1;5;21673;0.00023070179485996402
热恋言_;11;3;14;21673;0.0006459650256078992
用户阿现小酷宝;3;3;6;21673;0.0002768421538319568
星空下的萤火虫___;9;9;18;21673;0.0008305264614958704
薛薛de猫;1;2;3;21673;0.0001384210769159784
观海等风来2022;3;3;6;21673;0.0002768421538319568
李现工作室;2673;19000;21673;21673;1.0
心念奶鹽;10;10;20;21673;0.0009228071794398561
刘亦菲小龙女lyf;2;4;6;21673;0.0002768421538319568
岂曰无衣·2146;51;14;65;21673;0.002999123333179532
毅淇一生-0517;23;4;27;21673;0.0012457896922438056
树梅zzzz;1;1;2;21673;9.22807179439856e-05
昆明五华发布;3;1;4;21673;0.0001845614358879712
傅诗淇玲儿;110;7;117;21673;0.005398421999723158
-耀和玺一起看海-;4;6;10;21673;0.00046140358971992804
青罗劳;1;1;2;21673;9.22807179439856e-05
傅总宝儿;1;2;3;21673;0.0001384210769159784
一一戒糖ing;1;1;2;21673;9.22807179439856e-05
想吃一颗盐;6;2;8;21673;0.0003691228717759424
有盐才好吃啊;8;3;11;21673;0.0005075439486919209
酒醉的蝴蝶__;8;3;11;21673;0.0005075439486919209
异于你的我;8;2;10;21673;0.00046140358971992804
思雨丁;9;5;14;21673;0.0006459650256078992
816號候車厅;8;3;11;21673;0.0005075439486919209
清枝吟Spoil;97;155;252;21673;0.011627370460942187
去话-海吧;3;3;6;21673;0.0002768421538319568
沈吟未绝;3;5;8;21673;0.0003691228717759424
怂到躲开奶盐正视的钧倪;7;9;16;21673;0.0007382457435518848
长安不困;3;16;19;21673;0.0008766668204678633
栀鸢悸屿_;3;1;4;21673;0.0001845614358879712
可爱的奶盐卿;12;11;23;21673;0.0010612282563558343
云南平安高速;7;10;17;21673;0.0007843861025238776
栀鸢悸屿_;5;6;11;21673;0.0005075439486919209
沏茶小小盐;3;2;5;21673;0.00023070179485996402
