发布者;群体情绪;时间
四正刚刚好;0.0004358503510054861;2023-02-05 23:35:41
陌路不是路哟;-6.442363597704398e-06;2023-02-05 21:50:44
36氪;1.3201504619159197e-05;2023-02-05 21:46:58
雪山吃大鱼;0.00010036031042886165;2023-02-05 21:43:19
CHEUNGYUET;0.0001394822854096763;2023-02-06 13:49:01
UCG一刀;0.00040166569188545973;2023-02-06 12:40:56
晖姐的新微博;0.000862051792929311;2023-02-06 12:37:08
顾文豪;0.00011160126428892487;2023-02-06 12:34:20
伦敦的猪在香港;0.0008167654077817532;2023-02-06 10:18:34
-Redamantia-;0.0004218306802640618;2023-02-06 09:16:14
Christine芳心灭火器;0.00017903951735867134;2023-02-06 07:51:05
风干永永;-3.078855436244317e-05;2023-02-06 01:23:13
梁溪说事;-3.6363888648929356e-05;2023-02-06 01:11:59
品测科技;0.0005416496378627487;2023-02-06 00:44:31
豹仙人Leopa-sama;0.0004913945072487696;2023-02-06 00:43:00
七倍pro;0.00030291415488125967;2023-02-05 23:44:08
kestrel_wangwenjun;-0.00014431031300115774;2023-02-05 23:29:46
Maeiee;0.00032799804778544;2023-02-05 23:02:18
安民Anmin0001;0.0006894438263640417;2023-02-05 22:50:45
本恰恰-;0.0005459267683920348;2023-02-05 22:43:36
日语王唯斯;0.0013904133629496199;2023-02-05 22:40:44
张开教授;0.00037092312728759534;2023-02-05 22:32:34
岳东晓博士;0.013902960809464704;2023-02-05 22:29:18
祝佳音;0.0007265840898070574;2023-02-05 22:22:39
傲天皇妃sama;0.0017904533639831871;2023-02-05 22:16:04
Ocasionally_;0.0009131041480462783;2023-02-05 22:15:02
鸶游-;4.270122675038518e-05;2023-02-05 22:10:21
懿领土_1113;-8.079090121506211e-05;2023-02-05 21:59:58
夜神不说话;0.0011179752058033516;2023-02-05 21:57:41
破破的桥;0.015190472834255338;2023-02-05 21:32:20
亲子网络素养说;7.785639248672976e-05;2023-02-05 21:31:21
真高冷美少女;3.359911237177257e-05;2023-02-05 21:26:00
小果果王慕辰;1.646902949108996e-05;2023-02-05 21:23:24
一玶海岸;0.000979983169722853;2023-02-06 08:33:50
李雄鹰;0.20722138518936;2023-02-06 18:13:59
小花崽子x;0.04370467490371045;2023-02-05 22:45:08
杨大宝在思考;0.0002487661633095352;2023-02-05 22:31:19
llllit-q;-0.00017288864022761116;2023-02-05 21:27:19
后窗暴雨夜;0.0006361142143689843;2023-02-06 09:28:56
肉肉都跑掉辣;-0.00010025491800722356;2023-02-06 08:52:20
古月两青水;0.0005359044783379454;2023-02-06 01:44:42
MofielStudio;0.0009110201016151519;2023-02-06 00:05:50
猫哥评测;1.6426243103929577e-05;2023-02-05 23:46:35
姚尧博士;0.00023260599672987408;2023-02-05 23:30:22
福布斯中文网;-6.685115626821048e-05;2023-02-05 23:17:29
快兰斯24小时财经直播;9.88371940072086e-05;2023-02-05 23:15:55
zdhNarsil;0.0010253710670579054;2023-02-05 22:58:05
低可视度理工狼;0.0003385659072958297;2023-02-05 22:52:19
海未至_;-5.558819466710943e-05;2023-02-05 22:48:56
长沙发生了短沙发哦;7.426456434585449e-05;2023-02-05 22:46:25
李多乙_DaEulCoisini;5.373816544205421e-05;2023-02-05 22:46:17
宥元Annyeongz_Destiny;6.269778600983242e-05;2023-02-05 22:40:01
一头想要被吃掉的捣捣;0.00013056045054661954;2023-02-05 22:35:47
SugarMill_Onlyfor金昇玟;0.002288460071763423;2023-02-05 22:35:10
